A_given,A_calc,A_diff,H_given,H_calc,H_diff,Result
0.647,0.626,-0.021,0.38,0.374,-0.006,0
0.588,0.514,-0.074,0.439,0.486,0.047,0
0.609,0.598,-0.011,0.415,0.402,-0.013,0
0.539,0.548,0.009,0.483,0.452,-0.031,1
0.595,0.601,0.006,0.431,0.399,-0.032,1
0.461,0.459,-0.002,0.569,0.541,-0.028,0
0.543,0.535,-0.008,0.478,0.465,-0.013,0
0.526,0.509,-0.017,0.498,0.491,-0.007,0
0.472,0.513,0.041,0.559,0.487,-0.072,1
0.661,0.634,-0.027,0.364,0.366,0.002,0
0.476,0.445,-0.031,0.545,0.555,0.01,1
0.638,0.543,-0.095,0.391,0.457,0.066,0
0.615,0.6,-0.015,0.417,0.4,-0.017,0
0.498,0.528,0.03,0.526,0.472,-0.054,1
0.649,0.66,0.011,0.377,0.34,-0.037,0
0.563,0.528,-0.035,0.467,0.472,0.005,1
0.667,0.665,-0.002,0.364,0.335,-0.029,0
0.618,0.646,0.028,0.413,0.354,-0.059,0
0.543,0.535,-0.008,0.478,0.465,-0.013,1
0.435,0.412,-0.023,0.592,0.588,-0.004,1
0.426,0.381,-0.045,0.6,0.619,0.019,1
0.615,0.601,-0.014,0.417,0.399,-0.018,0
0.649,0.647,-0.002,0.377,0.353,-0.024,0
0.569,0.527,-0.042,0.461,0.473,0.012,0
0.524,0.52,-0.004,0.5,0.48,-0.02,0
0.587,0.596,0.009,0.441,0.404,-0.037,0
0.364,0.346,-0.018,0.667,0.654,-0.013,0
0.561,0.536,-0.025,0.469,0.464,-0.005,1
0.559,0.559,0,0.472,0.441,-0.031,0
0.517,0.51,-0.007,0.507,0.49,-0.017,0
0.667,0.711,0.044,0.364,0.289,-0.075,0
0.571,0.476,-0.095,0.459,0.524,0.065,1
0.512,0.493,-0.019,0.512,0.507,-0.005,1
0.507,0.501,-0.006,0.517,0.499,-0.018,0
0.583,0.584,0.001,0.444,0.416,-0.028,0
0.563,0.553,-0.01,0.467,0.447,-0.02,0
0.41,0.363,-0.047,0.621,0.637,0.016,1
0.559,0.547,-0.012,0.472,0.453,-0.019,1
0.672,0.646,-0.026,0.357,0.354,-0.003,0
0.417,0.404,-0.013,0.615,0.596,-0.019,0
0.515,0.503,-0.012,0.51,0.497,-0.013,0
0.531,0.45,-0.081,0.493,0.55,0.057,1
0.58,0.582,0.002,0.448,0.418,-0.03,0
0.567,0.515,-0.052,0.463,0.485,0.022,0
0.495,0.448,-0.047,0.528,0.552,0.024,0
0.457,0.387,-0.07,0.573,0.613,0.04,1
0.563,0.555,-0.008,0.467,0.445,-0.022,0
0.583,0.564,-0.019,0.444,0.436,-0.008,0
0.592,0.585,-0.007,0.435,0.415,-0.02,0
0.649,0.67,0.021,0.377,0.33,-0.047,0
0.528,0.517,-0.011,0.495,0.483,-0.012,1
0.571,0.538,-0.033,0.459,0.462,0.003,1
0.548,0.526,-0.022,0.474,0.474,0,1
0.459,0.439,-0.02,0.571,0.561,-0.01,1
0.417,0.394,-0.023,0.608,0.606,-0.002,0
0.51,0.525,0.015,0.515,0.475,-0.04,1
0.502,0.487,-0.015,0.522,0.513,-0.009,1
0.545,0.545,0,0.476,0.455,-0.021,0
0.621,0.631,0.01,0.41,0.369,-0.041,1
0.677,0.688,0.011,0.351,0.312,-0.039,0
0.476,0.446,-0.03,0.556,0.554,-0.002,1
0.426,0.416,-0.01,0.6,0.584,-0.016,1
0.476,0.43,-0.046,0.556,0.57,0.014,1
0.478,0.465,-0.013,0.543,0.535,-0.008,1
0.478,0.46,-0.018,0.543,0.54,-0.003,1
0.444,0.467,0.023,0.583,0.533,-0.05,1
0.535,0.537,0.002,0.488,0.463,-0.025,1
0.697,0.68,-0.017,0.328,0.32,-0.008,0
0.661,0.664,0.003,0.364,0.336,-0.028,1
0.426,0.41,-0.016,0.6,0.59,-0.01,1
0.563,0.577,0.014,0.467,0.423,-0.044,1
0.563,0.553,-0.01,0.467,0.447,-0.02,0
0.608,0.598,-0.01,0.417,0.402,-0.015,0
0.498,0.477,-0.021,0.526,0.523,-0.003,0
0.661,0.641,-0.02,0.364,0.359,-0.005,0
0.554,0.532,-0.022,0.467,0.468,0.001,1
0.533,0.55,0.017,0.49,0.45,-0.04,1
0.608,0.591,-0.017,0.417,0.409,-0.008,1
0.74,0.71,-0.03,0.286,0.29,0.004,0
0.474,0.477,0.003,0.548,0.523,-0.025,0
0.631,0.589,-0.042,0.398,0.411,0.013,1
0.512,0.492,-0.02,0.512,0.508,-0.004,1
0.565,0.574,0.009,0.465,0.426,-0.039,0
0.565,0.546,-0.019,0.465,0.454,-0.011,0
0.537,0.459,-0.078,0.485,0.541,0.056,1
0.493,0.487,-0.006,0.531,0.513,-0.018,0
0.558,0.482,-0.076,0.474,0.518,0.044,0
0.683,0.631,-0.052,0.345,0.369,0.024,0
0.459,0.416,-0.043,0.571,0.584,0.013,1
0.543,0.569,0.026,0.478,0.431,-0.047,1
0.62,0.612,-0.008,0.412,0.388,-0.024,1
0.726,0.707,-0.019,0.303,0.293,-0.01,0
0.554,0.512,-0.042,0.467,0.488,0.021,1
0.539,0.544,0.005,0.483,0.456,-0.027,0
0.635,0.643,0.008,0.394,0.357,-0.037,0
0.515,0.482,-0.033,0.51,0.518,0.008,0
0.485,0.442,-0.043,0.537,0.558,0.021,0
0.559,0.572,0.013,0.472,0.428,-0.044,1
0.476,0.496,0.02,0.556,0.504,-0.052,1
0.469,0.456,-0.013,0.561,0.544,-0.017,0
0.642,0.61,-0.032,0.386,0.39,0.004,1
0.541,0.54,-0.001,0.481,0.46,-0.021,1
0.474,0.458,-0.016,0.558,0.542,-0.016,1
0.558,0.532,-0.026,0.474,0.468,-0.006,0
0.609,0.584,-0.025,0.415,0.416,0.001,0
0.483,0.517,0.034,0.539,0.483,-0.056,0
0.441,0.383,-0.058,0.587,0.617,0.03,1
0.677,0.686,0.009,0.351,0.314,-0.037,1
0.502,0.495,-0.007,0.522,0.505,-0.017,1
0.481,0.512,0.031,0.541,0.488,-0.053,1
0.598,0.618,0.02,0.427,0.382,-0.045,0
0.441,0.409,-0.032,0.587,0.591,0.004,0
0.545,0.56,0.015,0.476,0.44,-0.036,0
0.565,0.546,-0.019,0.465,0.454,-0.011,1
0.667,0.649,-0.018,0.364,0.351,-0.013,0
0.543,0.546,0.003,0.478,0.454,-0.024,0
0.634,0.623,-0.011,0.395,0.377,-0.018,0
0.431,0.411,-0.02,0.595,0.589,-0.006,1
